first_name,second_name,team_name,player_pos,minutes_played,goals_scored,goals_conceded,assists,clean_sheets,penalties_missed,penalties_saved,num_saves,own_goals,yellow_cards,red_cards,points_per_game,total_bonus_pts,total_points,bps_system,form,in_dreamteam,selected_by_percent,creativity,ict_index,influence,threat,status,chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,ep_next,ep_this,event_points,news,news_added,current_cost,web_name,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,player_code,player_id,special,Mins_Per_90,Goals_Per_90,Assists_Per_90
Neil,Taylor,Aston Villa,Defender,793,0,19,0,2,0,0,0,0,2,0,1.7,0,17,113,['form'],FALSE,0.2,31.6,17.5,115.8,27,available,0,0,0,0,-0.3,0.3,0,0,0,0,N/A,N/A,4.2,Taylor,21132,0,27443,0,0,4,47390,24,FALSE,8.8111,0,0
Kortney,Hause,Aston Villa,Defender,990,0,24,0,1,0,0,0,0,2,0,1.4,0,15,121,['form'],FALSE,0.1,21.2,30.4,232.8,50,available,100,100,0,0,-0.1,0.1,0,0,0,0,N/A,2019-08-15T13:00:13.496241Z,4.4,Hause,2024,0,4962,0,0,3.4,123354,25,FALSE,11,0,0
Jonathan,Kodjia,Aston Villa,Striker,111,0,6,0,0,0,0,0,0,1,0,0.8,0,5,14,['form'],FALSE,0.1,12.2,3.8,3.4,24,unavailable,0,0,0,0,-0.1,0.1,0,0,0,0,Joined Al-Gharafa on a permanent deal on 20/1.,2020-01-08T20:30:20.825750Z,5.4,Kodjia,4232,0,27742,0,0,0.9,54764,26,FALSE,1.2333,0,0
Orjan,Nyland,Aston Villa,Goalkeeper,177,0,8,0,0,0,0,8,0,0,0,1,0,3,34,['form'],FALSE,0.2,0,5.8,57,0,available,100,100,0,0,-0.2,0.2,0,0,0,0,N/A,2019-07-30T15:00:08.973693Z,4.3,Nyland,18399,0,20350,0,0,0.7,98770,27,FALSE,1.9667,0,0
Conor,Hourihane,Aston Villa,Midfielder,940,3,26,2,2,0,0,0,0,4,0,2.9,6,52,207,['form'],FALSE,0.1,267.5,70.6,248.8,191,available,100,100,0,0,-0.3,0.3,2,0,0,0,N/A,2019-12-15T13:00:22.404997Z,5.7,Hourihane,17743,0,28733,0,0,9.1,85242,28,FALSE,10.4444,0.2872,0.1915
Jack,Grealish,Aston Villa,Midfielder,2333,7,52,7,4,1,0,0,0,7,0,4.5,15,118,473,['form'],FALSE,20,909.4,222.3,687.2,629,available,100,100,0,0,0.4,-0.4,3,0,0,0,N/A,2019-10-26T18:30:22.524063Z,6.4,Grealish,2646385,0,1634083,0,0,18.4,114283,29,FALSE,25.9222,0.27,0.27
Anwar,El Ghazi,Aston Villa,Midfielder,1673,4,40,5,4,0,0,0,0,3,0,3.2,0,79,240,['form'],FALSE,0.8,421.6,135.9,350.8,586,available,100,100,0,0,0,0,0,0,0,0,N/A,2020-02-22T17:30:19.276253Z,5.5,El Ghazi,255554,0,242443,0,0,14.4,193488,30,FALSE,18.5889,0.2152,0.269
John,McGinn,Aston Villa,Midfielder,1537,3,30,2,3,0,0,0,0,2,0,3.4,4,61,253,['form'],FALSE,2.6,375.3,113.5,386.4,375,available,100,75,0,0,-0.1,0.1,0,0,0,0,N/A,2019-12-21T17:00:13.681907Z,5.4,McGinn,1283440,0,1339462,0,0,11.3,122806,31,FALSE,17.0778,0.1757,0.1171
Andre,Green,Aston Villa,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['form'],FALSE,0,0,0,0,0,not available,0,0,0,0,-0.2,0.2,0,0,0,0,Joined Charlton Athletic on loan until the end of the season on 2/1. - Expected back 01 Jul,2019-08-04T16:30:15.274646Z,4.8,Green,396,0,1446,0,0,0,174597,32,FALSE,0,0,0
Birkir,Bjarnason,Aston Villa,Midfielder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['form'],FALSE,0,0,0,0,0,unavailable,0,0,0,0,0,0,0,0,0,0,Left Aston Villa by mutual consent on 8/8.,2019-08-08T15:30:15.672945Z,4.5,Bjarnason,732,0,7757,0,0,0,27770,33,FALSE,0,0,0
Keinan,Davis,Aston Villa,Midfielder,129,0,3,1,0,0,0,0,0,0,0,1.4,0,11,27,['form'],FALSE,0.2,36.2,14.2,20.2,87,available,100,100,0,0,-0.2,0.2,0,0,0,0,N/A,2020-02-03T23:00:14.489212Z,4.3,Davis,22006,0,33852,0,0,2.6,221239,34,FALSE,1.4333,0,0.6977
