minutes_played,goals_scored,goals_conceded,assists,clean_sheets,penalties_missed,penalties_saved,num_saves,own_goals,yellow_cards,red_cards,points_per_game,total_bonus_pts,total_points,bps_system,selected_by_percent,creativity,ict_index,influence,threat,chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,ep_next,ep_this,event_points,current_cost,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,player_code,player_id,Mins_Per_90,Goals_Per_90,Assists_Per_90
221,0,7,0,0,0,0,0,0,0,0,1.3,0,8,31,0,37.7,11.5,24.6,52,100,100,0,0,-0.1,0.1,0,0,0,0,5.9,1133,0,1155,0,0,1.4,56872,77,2.4556,0,0
48,0,1,0,0,0,0,0,0,0,0,1,0,2,10,0.1,5.4,1.2,6.8,0,100,100,0,0,-0.4,0.4,0,0,0,0,4.6,7343,0,23738,0,0,0.4,103912,78,0.5333,0,0
1000,0,19,1,2,0,0,0,0,3,0,1.6,0,32,147,0,124.6,31.8,150.4,44,100,100,0,0,0,0,0,0,0,0,5,6350,0,5538,0,0,6.4,155408,79,11.1111,0,0.09
234,0,6,0,0,0,0,0,0,1,0,1.2,0,6,28,0,25.5,5.6,23.6,8,100,100,0,0,-0.3,0.3,0,0,0,0,4.7,1465,0,4281,0,0,1.3,15237,80,2.6,0,0
878,2,16,1,1,0,0,0,0,1,0,2.4,1,39,127,0.1,71.8,47.8,226.2,182,100,100,0,0,-0.1,0.1,0,0,0,0,4.9,13618,0,10812,0,0,8,40387,81,9.7556,0.205,0.1025
1942,1,33,2,3,0,0,0,0,9,1,2,2,48,282,0.1,140.1,55.9,341.2,81,100,100,0,0,-0.2,0.2,0,0,0,0,4.8,13796,0,20972,0,0,10,152551,82,21.5778,0.0463,0.0927
1066,0,19,2,1,0,0,0,0,2,0,2.5,4,30,185,0.1,112.9,44.4,256.6,74,100,100,0,0,-0.2,0.2,0,0,0,0,4.3,8005,0,13373,0,0,7,154131,446,11.8444,0,0.1689
2162,1,36,1,5,0,0,0,0,7,0,2.2,5,60,314,0.2,203.8,100,503.8,291,100,100,0,0,0,0,1,0,0,0,5,27156,0,25925,0,0,12,168991,476,24.0222,0.0416,0.0416
405,0,6,1,2,0,0,0,0,0,0,2,0,18,55,0,39.8,20.5,45.4,120,100,75,0,0,-0.2,0.2,0,0,0,0,5.8,1095,0,4905,0,0,3.1,220307,492,4.5,0,0.2222
2520,0,44,1,4,0,0,102,0,0,0,3.4,10,96,520,3.5,10,76.9,759,0,100,100,0,0,0,0,3,0,0,0,4.5,664636,0,447801,0,0,21.3,225321,494,28,0,0.0357
1432,7,28,1,2,0,0,0,0,1,0,3.7,7,84,280,1.8,228.4,113.1,360.2,543,100,100,0,0,-0.2,0.2,2,0,0,0,5.8,633018,0,612300,0,0,14.5,153682,505,15.9111,0.4399,0.0628
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,749,0,544,0,0,0,461017,564,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,452,0,354,0,0,0,444183,565,0,0,0
